Group ,Subgroup,Language,State,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Cajun,Montana,20,24,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.French Creole,.French Creole,Montana,57,55,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Italian,.Italian,Montana,619,257,85,83
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Portuguese,Montana,135,64,40,31
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..German,Montana,"7,120",621,"1,265",280
OTHER INDO-EUROPEAN LANGUAGES,.Yiddish,.Yiddish,Montana,35,39,9,12
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Pennsylvania Dutch,Montana,170,106,80,62
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Dutch,Montana,580,189,55,54
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Afrikaans,Montana,50,51,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Swedish,Montana,130,71,10,12
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Danish,Montana,300,147,15,13
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Norwegian,Montana,590,164,115,72
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Icelandic,Montana,15,22,10,17
OTHER INDO-EUROPEAN LANGUAGES,.Greek,.Greek,Montana,160,62,24,23
OTHER INDO-EUROPEAN LANGUAGES,.Russian,.Russian,Montana,615,242,358,150
OTHER INDO-EUROPEAN LANGUAGES,.Polish,.Polish,Montana,251,105,28,21
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbocroatian,Montana,(D),(D),(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Croatian,Montana,65,62,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Ukrainian,Montana,170,106,95,74
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Czech,Montana,100,42,15,13
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bulgarian,Montana,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovene,Montana,35,34,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Persian,.Persian,Montana,29,41,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Hindi,.Hindi,Montana,78,76,22,39
OTHER INDO-EUROPEAN LANGUAGES,.Gujarati,.Gujarati,Montana,8,16,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Urdu,.Urdu,Montana,51,67,14,20
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..India n.e.c.3,Montana,60,72,20,21
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Bengali,Montana,(D),(D),(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Panjabi,Montana,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Nepali,Montana,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Romanian,Montana,150,132,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Irish Gaelic,Montana,170,89,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Latvian,Montana,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Chinese,Montana,775,241,435,177
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Cantonese,Montana,45,48,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Mandarin,Montana,155,123,135,118
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Formosan,Montana,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Japanese,.Japanese,Montana,715,229,360,184
ASIAN AND PACIFIC ISLAND LANGUAGES,.Korean,.Korean,Montana,431,175,282,139
ASIAN AND PACIFIC ISLAND LANGUAGES,".Mon-Khmer, Cambodian",".Mon-Khmer, Cambodian",Montana,6,9,6,9
ASIAN AND PACIFIC ISLAND LANGUAGES,.Hmong,.Hmong,Montana,92,143,9,19
ASIAN AND PACIFIC ISLAND LANGUAGES,.Thai,.Thai,Montana,185,106,113,83
ASIAN AND PACIFIC ISLAND LANGUAGES,.Laotian,.Laotian,Montana,5,7,5,7
ASIAN AND PACIFIC ISLAND LANGUAGES,.Vietnamese,.Vietnamese,Montana,133,91,87,82
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Turkish,Montana,40,36,30,32
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Mongolian,Montana,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Telugu,Montana,80,92,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Malayalam,Montana,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tamil,Montana,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Burmese,Montana,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Karen,Montana,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Tagalog,.Tagalog,Montana,787,233,342,173
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Indonesian,Montana,35,36,(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malay,Montana,85,99,(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Bisayan,Montana,115,97,35,40
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Chamorro,Montana,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Polynesian,Montana,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Samoan,Montana,40,25,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Tongan,Montana,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Fijian,Montana,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Hawaiian,Montana,40,46,(B),--
ALL OTHER LANGUAGES,.Navajo,.Navajo,Montana,159,77,12,14
ALL OTHER LANGUAGES,.Other Native North American languages,..Arapaho,Montana,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Atsina,Montana,30,26,(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Blackfoot,Montana,"1,075",209,35,33
ALL OTHER LANGUAGES,.Other Native North American languages,..Cheyenne,Montana,"1,120",264,50,29
ALL OTHER LANGUAGES,.Other Native North American languages,..Cree,Montana,250,85,35,28
ALL OTHER LANGUAGES,.Other Native North American languages,..Ojibwa,Montana,305,120,30,25
ALL OTHER LANGUAGES,.Other Native North American languages,..Potawatomi,Montana,55,70,(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Shawnee,Montana,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Kutenai,Montana,165,143,(D),(D)
ALL OTHER LANGUAGES,.Other Native North American languages,..Salish,Montana,565,161,(D),(D)
ALL OTHER LANGUAGES,.Other Native North American languages,..Apache,Montana,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Nez Perce,Montana,35,36,(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Crow,Montana,"3,860",464,200,165
ALL OTHER LANGUAGES,.Other Native North American languages,..Hidatsa,Montana,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Dakota,Montana,510,173,40,35
ALL OTHER LANGUAGES,.Other Native North American languages,..Winnebago,Montana,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Choctaw,Montana,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Muskogee,Montana,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..American Indian,Montana,85,50,(D),(D)
ALL OTHER LANGUAGES,.Hungarian,.Hungarian,Montana,57,35,(B),--
ALL OTHER LANGUAGES,.Arabic,.Arabic,Montana,415,241,240,154
ALL OTHER LANGUAGES,.Hebrew,.Hebrew,Montana,176,119,(B),--
ALL OTHER LANGUAGES,.African languages,..Amharic,Montana,75,62,55,54
ALL OTHER LANGUAGES,.African languages,..Bantu,Montana,45,46,(D),(D)
ALL OTHER LANGUAGES,.African languages,"..Kru, Ibo, Yoruba",Montana,70,77,25,29
ALL OTHER LANGUAGES,.Other and unspecified languages,..Finnish,Montana,90,49,(B),--
ALL OTHER LANGUAGES,.Other and unspecified languages,..Estonian,Montana,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other and unspecified languages,..Syriac,Montana,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other and unspecified languages,..Uncodable,Montana,30,30,(D),(D)
Total,Total,Total Speakers,Nebraska,"1,711,160",313,"81,310","2,079"
English,English,English,Nebraska,"1,530,738","3,168",(X),(X)
SPANISH AND SPANISH CREOLE,Spanish,..Spanish,Nebraska,"119,505","2,162","57,285","1,663"
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..French,Nebraska,"4,755",645,"1,420",285
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Cajun,Nebraska,45,57,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.French Creole,.French Creole,Nebraska,154,131,14,23
OTHER INDO-EUROPEAN LANGUAGES,.Italian,.Italian,Nebraska,"1,364",323,281,119
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Portuguese,Nebraska,790,226,115,56
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..German,Nebraska,"5,690",457,765,140
OTHER INDO-EUROPEAN LANGUAGES,.Yiddish,.Yiddish,Nebraska,148,117,39,50
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Pennsylvania Dutch,Nebraska,75,50,20,26
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Dutch,Nebraska,335,128,55,40
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Afrikaans,Nebraska,85,59,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Swedish,Nebraska,220,81,30,39
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Danish,Nebraska,130,54,60,36
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Norwegian,Nebraska,95,44,15,19
OTHER INDO-EUROPEAN LANGUAGES,.Greek,.Greek,Nebraska,301,103,95,72
OTHER INDO-EUROPEAN LANGUAGES,.Russian,.Russian,Nebraska,"1,324",274,576,176
OTHER INDO-EUROPEAN LANGUAGES,.Polish,.Polish,Nebraska,919,232,174,59
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbocroatian,Nebraska,265,167,95,112
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Croatian,Nebraska,245,169,125,114
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbian,Nebraska,45,40,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bielorussian,Nebraska,(D),(D),(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Ukrainian,Nebraska,620,291,260,167
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Czech,Nebraska,"1,770",267,225,90
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovak,Nebraska,40,43,10,12
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bulgarian,Nebraska,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Macedonian,Nebraska,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovene,Nebraska,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Armenian,.Armenian,Nebraska,5,9,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Persian,.Persian,Nebraska,640,321,404,296
OTHER INDO-EUROPEAN LANGUAGES,.Hindi,.Hindi,Nebraska,"1,238",347,230,165
OTHER INDO-EUROPEAN LANGUAGES,.Gujarati,.Gujarati,Nebraska,275,136,130,83
OTHER INDO-EUROPEAN LANGUAGES,.Urdu,.Urdu,Nebraska,389,180,124,100
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..India n.e.c.3,Nebraska,60,60,60,60
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Bengali,Nebraska,520,232,150,148
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Panjabi,Nebraska,225,258,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Marathi,Nebraska,195,144,20,26
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Oriya,Nebraska,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Assamese,Nebraska,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Nepali,Nebraska,"1,110",463,715,378
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sinhalese,Nebraska,145,103,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Krio,Nebraska,55,74,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Romanian,Nebraska,130,85,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Welsh,Nebraska,40,59,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Irish Gaelic,Nebraska,115,76,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Scottic Gaelic,Nebraska,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Albanian,Nebraska,80,78,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Lithuanian,Nebraska,220,96,35,34
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Latvian,Nebraska,70,69,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pashto,Nebraska,75,79,20,26
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Kurdish,Nebraska,955,542,410,247
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Chinese,Nebraska,"3,575",507,"2,240",440
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Cantonese,Nebraska,90,54,35,28
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Mandarin,Nebraska,640,237,325,146
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Formosan,Nebraska,40,41,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Japanese,.Japanese,Nebraska,"1,075",256,370,133
ASIAN AND PACIFIC ISLAND LANGUAGES,.Korean,.Korean,Nebraska,"1,160",271,538,174
ASIAN AND PACIFIC ISLAND LANGUAGES,".Mon-Khmer, Cambodian",".Mon-Khmer, Cambodian",Nebraska,84,63,50,43
ASIAN AND PACIFIC ISLAND LANGUAGES,.Hmong,.Hmong,Nebraska,37,47,12,17
ASIAN AND PACIFIC ISLAND LANGUAGES,.Thai,.Thai,Nebraska,835,295,392,148
ASIAN AND PACIFIC ISLAND LANGUAGES,.Laotian,.Laotian,Nebraska,734,202,519,159
ASIAN AND PACIFIC ISLAND LANGUAGES,.Vietnamese,.Vietnamese,Nebraska,"7,616",757,"4,627",585
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Uighur,Nebraska,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Turkish,Nebraska,360,249,75,83
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Mongolian,Nebraska,60,68,40,44
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Telugu,Nebraska,"1,055",306,170,83
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kannada,Nebraska,95,84,(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Malayalam,Nebraska,125,97,(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tamil,Nebraska,770,235,175,112
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tibetan,Nebraska,175,153,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Burmese,Nebraska,440,203,375,184
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Karen,Nebraska,"1,550",482,"1,465",473
ASIAN AND PACIFIC ISLAND LANGUAGES,.Tagalog,.Tagalog,Nebraska,"1,320",329,274,99
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Indonesian,Nebraska,245,163,55,45
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malay,Nebraska,65,58,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Bisayan,Nebraska,155,142,15,18
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Sebuano,Nebraska,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Pampangan,Nebraska,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Chamorro,Nebraska,60,45,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Marshallese,Nebraska,160,171,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Mokilese,Nebraska,80,71,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Palau,Nebraska,45,29,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Samoan,Nebraska,100,84,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Tongan,Nebraska,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Hawaiian,Nebraska,(D),(D),(D),(D)
ALL OTHER LANGUAGES,.Navajo,.Navajo,Nebraska,5,8,(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Inupik,Nebraska,45,73,(D),(D)
ALL OTHER LANGUAGES,.Other Native North American languages,..Yupik,Nebraska,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Algonquian,Nebraska,(D),(D),(D),(D)
ALL OTHER LANGUAGES,.Other Native North American languages,..Arapaho,Nebraska,20,23,(D),(D)
ALL OTHER LANGUAGES,.Other Native North American languages,..Fox,Nebraska,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Miami,Nebraska,40,103,35,90
ALL OTHER LANGUAGES,.Other Native North American languages,..Ojibwa,Nebraska,30,46,(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Tlingit,Nebraska,25,27,(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Tonkawa,Nebraska,(D),(D),(D),(D)
ALL OTHER LANGUAGES,.Other Native North American languages,..Dakota,Nebraska,565,160,55,39
ALL OTHER LANGUAGES,.Other Native North American languages,..Winnebago,Nebraska,225,89,10,12
ALL OTHER LANGUAGES,.Other Native North American languages,..Omaha,Nebraska,300,113,10,8
ALL OTHER LANGUAGES,.Other Native North American languages,..Ponca,Nebraska,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Oneida,Nebraska,(D),(D),(D),(D)
ALL OTHER LANGUAGES,.Other Native North American languages,..Cherokee,Nebraska,95,77,(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Tewa,Nebraska,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..American Indian,Nebraska,90,53,20,23
ALL OTHER LANGUAGES,.Hungarian,.Hungarian,Nebraska,30,31,18,29
ALL OTHER LANGUAGES,.Arabic,.Arabic,Nebraska,"3,553",682,"1,767",422
ALL OTHER LANGUAGES,.Hebrew,.Hebrew,Nebraska,154,89,13,14
ALL OTHER LANGUAGES,.African languages,..Amharic,Nebraska,355,185,195,146
ALL OTHER LANGUAGES,.African languages,..Chadic,Nebraska,60,67,(D),(D)
ALL OTHER LANGUAGES,.African languages,..Cushite,Nebraska,"1,965",532,"1,110",342
ALL OTHER LANGUAGES,.African languages,..Sudanic,Nebraska,740,353,345,180
ALL OTHER LANGUAGES,.African languages,..Nilotic,Nebraska,"1,670",691,545,224
ALL OTHER LANGUAGES,.African languages,..Nubian,Nebraska,110,181,(D),(D)
ALL OTHER LANGUAGES,.African languages,..Swahili,Nebraska,145,72,10,19
ALL OTHER LANGUAGES,.African languages,..Bantu,Nebraska,275,136,(D),(D)
ALL OTHER LANGUAGES,.African languages,..Mande,Nebraska,240,223,115,134
ALL OTHER LANGUAGES,.African languages,..Fulani,Nebraska,(D),(D),(D),(D)
ALL OTHER LANGUAGES,.African languages,"..Kru, Ibo, Yoruba",Nebraska,385,161,155,143
ALL OTHER LANGUAGES,.African languages,..Efik,Nebraska,60,64,(D),(D)
ALL OTHER LANGUAGES,.Other and unspecified languages,..Finnish,Nebraska,40,43,(D),(D)
ALL OTHER LANGUAGES,.Other and unspecified languages,..Caucasian,Nebraska,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other and unspecified languages,..Mayan languages,Nebraska,565,435,560,431
ALL OTHER LANGUAGES,.Other and unspecified languages,..Uncodable,Nebraska,95,55,(D),(D)
Total,Total,Total Speakers,Nevada,"2,546,528",194,"317,113","4,446"
English,English,English,Nevada,"1,799,141","6,469",(X),(X)
SPANISH AND SPANISH CREOLE,Spanish,..Spanish,Nevada,"517,935","4,650","230,365","3,870"
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..French,Nevada,"7,940",696,"1,510",356
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Patois,Nevada,130,99,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",.French Creole,Nevada,543,220,37,53
OTHER INDO-EUROPEAN LANGUAGES,.Italian,.Italian,Nevada,"4,794",639,"1,091",243
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Portuguese,Nevada,"2,755",420,710,159
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Papia Mentae,Nevada,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..German,Nevada,"7,945",701,"1,125",232
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..Luxembourgian,Nevada,50,40,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Yiddish,.Yiddish,Nevada,367,154,69,59
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Dutch,Nevada,945,209,170,96
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Afrikaans,Nevada,90,52,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Frisian,Nevada,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Swedish,Nevada,290,113,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Danish,Nevada,450,152,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Norwegian,Nevada,535,220,60,51
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Icelandic,Nevada,40,45,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Greek,.Greek,Nevada,"2,236",398,425,134
OTHER INDO-EUROPEAN LANGUAGES,.Russian,.Russian,Nevada,"5,168",812,"1,810",419
OTHER INDO-EUROPEAN LANGUAGES,.Polish,.Polish,Nevada,"2,496",551,460,176
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbocroatian,Nevada,"1,425",599,740,341
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Croatian,Nevada,830,422,300,202
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbian,Nevada,"1,570",530,640,278
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Ukrainian,Nevada,425,168,135,101
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Czech,Nevada,470,173,180,96
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovak,Nevada,65,49,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bulgarian,Nevada,"1,765",485,780,263
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Macedonian,Nevada,170,123,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovene,Nevada,75,60,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Armenian,.Armenian,Nevada,"2,411",585,704,214
OTHER INDO-EUROPEAN LANGUAGES,.Persian,.Persian,Nevada,"4,187",785,"1,485",396
OTHER INDO-EUROPEAN LANGUAGES,.Hindi,.Hindi,Nevada,"2,435",573,894,390
OTHER INDO-EUROPEAN LANGUAGES,.Gujarati,.Gujarati,Nevada,"1,022",372,626,252
OTHER INDO-EUROPEAN LANGUAGES,.Urdu,.Urdu,Nevada,"1,536",470,407,149
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..India n.e.c.3,Nevada,515,356,230,187
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Bengali,Nevada,765,485,335,227
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Panjabi,Nevada,"1,485",535,600,270
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Marathi,Nevada,165,137,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Oriya,Nevada,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Assamese,Nevada,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Nepali,Nevada,"1,030",463,750,382
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sindhi,Nevada,35,38,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Pakistan n.e.c.3,Nevada,35,62,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sinhalese,Nevada,450,233,80,52
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Romany,Nevada,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Jamaican Creole,Nevada,30,27,(D),(D)
