Group ,Subgroup,Language,State,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
English,English,English,Maine,"1,175,657","1,860",(X),(X)
SPANISH AND SPANISH CREOLE,Spanish AND SPANISH CREOLE,..Spanish,Maine,"11,600",813,"2,545",366
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..French,Maine,"45,350","1,323","8,440",650
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Patois,Maine,125,125,85,94
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",.French Creole,Maine,123,61,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Italian,.Italian,Maine,"1,019",196,123,48
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Portuguese,Maine,675,194,105,67
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..German,Maine,"3,415",368,385,118
OTHER INDO-EUROPEAN LANGUAGES,.Yiddish,.Yiddish,Maine,42,44,8,13
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Pennsylvania Dutch,Maine,85,44,25,20
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Dutch,Maine,435,168,105,86
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Afrikaans,Maine,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Swedish,Maine,315,98,35,34
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Danish,Maine,105,62,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Norwegian,Maine,50,36,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Greek,.Greek,Maine,710,210,81,60
OTHER INDO-EUROPEAN LANGUAGES,.Russian,.Russian,Maine,"1,567",470,568,253
OTHER INDO-EUROPEAN LANGUAGES,.Polish,.Polish,Maine,673,180,182,98
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbocroatian,Maine,40,35,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Croatian,Maine,70,60,40,30
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbian,Maine,140,83,65,53
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Ukrainian,Maine,50,35,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Czech,Maine,185,102,20,20
