Group,Subgroup,Language,State,State_ID,Speakers,Margin of Error,"Speak English less than ""Very Well""",Margin of Error.1
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Croatian,Ohio,OH,5205,612,1770,330
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbian,Ohio,OH,5285,823,2025,371
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bielorussian,Ohio,OH,55,144,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Ukrainian,Ohio,OH,7835,996,3735,572
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Czech,Ohio,OH,755,215,130,67
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovak,Ohio,OH,2410,346,400,106
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bulgarian,Ohio,OH,995,447,180,118
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Macedonian,Ohio,OH,1800,423,580,201
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovene,Ohio,OH,1840,298,560,150
OTHER INDO-EUROPEAN LANGUAGES,Armenian,Armenian,Ohio,OH,482,184,155,74
OTHER INDO-EUROPEAN LANGUAGES,Persian,Persian,Ohio,OH,3266,551,1152,315
OTHER INDO-EUROPEAN LANGUAGES,Hindi,Hindi,Ohio,OH,16159,1475,2606,537
OTHER INDO-EUROPEAN LANGUAGES,Gujarati,Gujarati,Ohio,OH,7727,893,2508,465
OTHER INDO-EUROPEAN LANGUAGES,Urdu,Urdu,Ohio,OH,5132,678,1060,251
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,India,Ohio,OH,1585,457,360,173
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bengali,Ohio,OH,2660,514,620,187
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Panjabi,Ohio,OH,4070,720,1560,432
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Marathi,Ohio,OH,1625,423,355,204
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Oriya,Ohio,OH,35,52,35,52
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Assamese,Ohio,OH,55,59,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Kashmiri,Ohio,OH,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Nepali,Ohio,OH,2130,688,1640,589
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sindhi,Ohio,OH,85,83,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Pakistan,Ohio,OH,120,102,95,98
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sinhalese,Ohio,OH,775,364,135,129
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Romany,Ohio,OH,165,121,50,47
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Jamaican Creole,Ohio,OH,320,184,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Krio,Ohio,OH,450,247,100,115
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pidgin,Ohio,OH,125,85,60,61
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Romanian,Ohio,OH,6335,990,3055,566
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Welsh,Ohio,OH,140,75,35,35
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Irish Gaelic,Ohio,OH,850,255,105,57
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Scottic Gaelic,Ohio,OH,35,37,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Albanian,Ohio,OH,3280,814,1600,484
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Lithuanian,Ohio,OH,1085,244,240,123
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Latvian,Ohio,OH,670,178,80,50
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pashto,Ohio,OH,145,108,65,87
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Kurdish,Ohio,OH,145,134,70,67
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Chinese,Ohio,OH,33190,1682,17035,1051
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Hakka,Ohio,OH,95,127,95,127
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Cantonese,Ohio,OH,1845,396,700,232
