Group,Subgroup,Language,State,State_ID,Speakers,Margin of Error,"Speak English less than ""Very Well""",Margin of Error.1
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Pennsylvania Dutch,Mississippi,MS,35,32,,
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,Mississippi,MS,215,119,,
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,Mississippi,MS,95,73,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,Mississippi,MS,,,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Danish,Mississippi,MS,50,37,40,33
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Norwegian,Mississippi,MS,135,81,,
OTHER INDO-EUROPEAN LANGUAGES,Greek,Greek,Mississippi,MS,229,130,31,37
OTHER INDO-EUROPEAN LANGUAGES,Russian,Russian,Mississippi,MS,467,186,151,68
OTHER INDO-EUROPEAN LANGUAGES,Polish,Polish,Mississippi,MS,175,110,,
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbocroatian,Mississippi,MS,30,38,,
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Croatian,Mississippi,MS,35,32,20,18
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbian,Mississippi,MS,30,47,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Ukrainian,Mississippi,MS,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Czech,Mississippi,MS,160,90,40,34
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovak,Mississippi,MS,65,79,,
OTHER INDO-EUROPEAN LANGUAGES,Armenian,Armenian,Mississippi,MS,26,28,,
OTHER INDO-EUROPEAN LANGUAGES,Persian,Persian,Mississippi,MS,174,105,39,39
OTHER INDO-EUROPEAN LANGUAGES,Hindi,Hindi,Mississippi,MS,978,253,134,102
OTHER INDO-EUROPEAN LANGUAGES,Gujarati,Gujarati,Mississippi,MS,"1,566",409,490,194
OTHER INDO-EUROPEAN LANGUAGES,Urdu,Urdu,Mississippi,MS,414,292,97,66
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,India,Mississippi,MS,525,308,255,221
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bengali,Mississippi,MS,265,148,90,72
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Panjabi,Mississippi,MS,530,206,190,119
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Marathi,Mississippi,MS,125,85,25,27
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bihari,Mississippi,MS,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Nepali,Mississippi,MS,110,83,80,91
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sindhi,Mississippi,MS,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sinhalese,Mississippi,MS,160,117,110,87
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Jamaican Creole,Mississippi,MS,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Romanian,Mississippi,MS,105,85,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Irish Gaelic,Mississippi,MS,80,52,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Lithuanian,Mississippi,MS,25,36,20,35
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Latvian,Mississippi,MS,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Kurdish,Mississippi,MS,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Chinese,Mississippi,MS,"3,675",728,"2,235",505
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Cantonese,Mississippi,MS,135,90,60,37
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Mandarin,Mississippi,MS,280,158,160,107
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Formosan,Mississippi,MS,75,78,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Japanese,Japanese,Mississippi,MS,778,252,310,152
ASIAN AND PACIFIC ISLAND LANGUAGES,Korean,Korean,Mississippi,MS,"1,524",409,552,181
ASIAN AND PACIFIC ISLAND LANGUAGES,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian",Mississippi,MS,111,71,33,27
ASIAN AND PACIFIC ISLAND LANGUAGES,Hmong,Hmong,Mississippi,MS,8,8,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Thai,Thai,Mississippi,MS,197,151,127,98
ASIAN AND PACIFIC ISLAND LANGUAGES,Laotian,Laotian,Mississippi,MS,215,211,30,37
ASIAN AND PACIFIC ISLAND LANGUAGES,Vietnamese,Vietnamese,Mississippi,MS,"6,564",880,"3,539",620
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkish,Mississippi,MS,370,229,80,75
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Telugu,Mississippi,MS,440,208,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kannada,Mississippi,MS,25,27,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Malayalam,Mississippi,MS,95,112,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tamil,Mississippi,MS,130,98,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Burmese,Mississippi,MS,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Mien,Mississippi,MS,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Tagalog,Tagalog,Mississippi,MS,"2,661",565,940,337
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Indonesian,Mississippi,MS,55,65,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malay,Mississippi,MS,45,40,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bisayan,Mississippi,MS,70,87,45,65
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Sebuano,Mississippi,MS,315,360,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bikol,Mississippi,MS,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Chamorro,Mississippi,MS,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Marshallese,Mississippi,MS,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Samoan,Mississippi,MS,15,17,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Hawaiian,Mississippi,MS,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Inupik,Mississippi,MS,,,,
ALL OTHER LANGUAGES,Other Native North American languages,French Cree,Mississippi,MS,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Salish,Mississippi,MS,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Apache,Mississippi,MS,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Choctaw,Mississippi,MS,"4,275",490,800,209
ALL OTHER LANGUAGES,Other Native North American languages,American Indian,Mississippi,MS,70,54,,
ALL OTHER LANGUAGES,Hungarian,Hungarian,Mississippi,MS,32,25,6,12
ALL OTHER LANGUAGES,Arabic,Arabic,Mississippi,MS,"2,140",558,859,361
ALL OTHER LANGUAGES,Hebrew,Hebrew,Mississippi,MS,39,35,,
ALL OTHER LANGUAGES,African languages,Amharic,Mississippi,MS,190,182,,
ALL OTHER LANGUAGES,African languages,Chadic,Mississippi,MS,30,47,,
ALL OTHER LANGUAGES,African languages,Cushite,Mississippi,MS,,,,
ALL OTHER LANGUAGES,African languages,Sudanic,Mississippi,MS,,,,
ALL OTHER LANGUAGES,African languages,Swahili,Mississippi,MS,255,237,100,116
ALL OTHER LANGUAGES,African languages,Bantu,Mississippi,MS,30,31,,
ALL OTHER LANGUAGES,African languages,Fulani,Mississippi,MS,140,111,65,63
ALL OTHER LANGUAGES,African languages,"Kru, Ibo, Yoruba",Mississippi,MS,400,182,55,42
ALL OTHER LANGUAGES,African languages,African,Mississippi,MS,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Syriac,Mississippi,MS,25,37,,
ALL OTHER LANGUAGES,Other and unspecified languages,Aztecan,Mississippi,MS,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Mayan languages,Mississippi,MS,445,419,345,337
ALL OTHER LANGUAGES,Other and unspecified languages,Oto - Manguen,Mississippi,MS,35,75,35,75
ALL OTHER LANGUAGES,Other and unspecified languages,Arawakian,Mississippi,MS,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Tupi-Guarani,Mississippi,MS,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Uncodable,Mississippi,MS,215,144,,
ENGLISH,English,English,Missouri,MO,"5,279,336","4,734",,
SPANISH AND SPANISH CREOLE,Spanish and Spanish Creole,Spanish,Missouri,MO,"148,040","2,631","56,170","2,047"
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",French,Missouri,MO,"14,380",999,"2,830",443
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Patois,Missouri,MO,80,68,,
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Cajun,Missouri,MO,35,34,,
OTHER INDO-EUROPEAN LANGUAGES,French Creole,French Creole,Missouri,MO,734,275,330,235
OTHER INDO-EUROPEAN LANGUAGES,Italian,Italian,Missouri,MO,"4,391",576,770,193
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Portuguese,Missouri,MO,"2,595",590,745,303
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Papia Mentae,Missouri,MO,,,,
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),German,Missouri,MO,"22,910","1,409","5,565",929
OTHER INDO-EUROPEAN LANGUAGES,Yiddish,Yiddish,Missouri,MO,221,107,51,41
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Pennsylvania Dutch,Missouri,MO,"4,085",677,"1,685",354
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,Missouri,MO,"3,085",716,745,215
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,Missouri,MO,330,130,25,22
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,Missouri,MO,475,205,40,42
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Danish,Missouri,MO,170,93,45,49
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Norwegian,Missouri,MO,200,97,4,9
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Icelandic,Missouri,MO,,,,
OTHER INDO-EUROPEAN LANGUAGES,Greek,Greek,Missouri,MO,"1,474",354,378,146
OTHER INDO-EUROPEAN LANGUAGES,Russian,Russian,Missouri,MO,"8,678",899,"4,225",667
OTHER INDO-EUROPEAN LANGUAGES,Polish,Polish,Missouri,MO,"1,500",298,409,136
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbocroatian,Missouri,MO,"12,340","1,454","6,045",795
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Croatian,Missouri,MO,635,219,220,95
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbian,Missouri,MO,525,261,215,127
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Ukrainian,Missouri,MO,880,327,300,177
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Czech,Missouri,MO,325,161,20,23
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovak,Missouri,MO,60,56,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bulgarian,Missouri,MO,"1,020",362,285,184
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Macedonian,Missouri,MO,90,112,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovene,Missouri,MO,,,,
OTHER INDO-EUROPEAN LANGUAGES,Armenian,Armenian,Missouri,MO,187,132,49,62
OTHER INDO-EUROPEAN LANGUAGES,Persian,Persian,Missouri,MO,"3,068",549,"1,039",282
OTHER INDO-EUROPEAN LANGUAGES,Hindi,Hindi,Missouri,MO,"3,999",645,402,130
OTHER INDO-EUROPEAN LANGUAGES,Gujarati,Gujarati,Missouri,MO,"1,813",485,570,228
OTHER INDO-EUROPEAN LANGUAGES,Urdu,Urdu,Missouri,MO,"3,456",764,484,150
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,India,Missouri,MO,415,209,190,140
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bengali,Missouri,MO,"1,990",588,570,220
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Panjabi,Missouri,MO,820,351,245,143
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Marathi,Missouri,MO,845,297,80,74
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Oriya,Missouri,MO,265,211,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Assamese,Missouri,MO,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Kashmiri,Missouri,MO,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Nepali,Missouri,MO,"1,290",411,685,297
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sindhi,Missouri,MO,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Pakistan,Missouri,MO,200,178,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sinhalese,Missouri,MO,155,108,65,74
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Jamaican Creole,Missouri,MO,25,29,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Krio,Missouri,MO,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pidgin,Missouri,MO,40,30,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Romanian,Missouri,MO,"1,645",465,450,213
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Irish Gaelic,Missouri,MO,130,79,20,25
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Scottic Gaelic,Missouri,MO,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Albanian,Missouri,MO,"1,630",690,840,370
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Lithuanian,Missouri,MO,185,113,80,70
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Latvian,Missouri,MO,165,117,55,44
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pashto,Missouri,MO,385,280,155,121
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Kurdish,Missouri,MO,470,240,230,132
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Chinese,Missouri,MO,"14,755","1,073","8,380",830
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Hakka,Missouri,MO,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Cantonese,Missouri,MO,890,317,510,223
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Mandarin,Missouri,MO,"2,620",461,"1,155",291
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Fuchow,Missouri,MO,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Formosan,Missouri,MO,520,196,340,170
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Wu,Missouri,MO,10,12,10,12
ASIAN AND PACIFIC ISLAND LANGUAGES,Japanese,Japanese,Missouri,MO,"2,818",410,"1,048",225
ASIAN AND PACIFIC ISLAND LANGUAGES,Korean,Korean,Missouri,MO,"6,918",703,"3,827",623
ASIAN AND PACIFIC ISLAND LANGUAGES,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian",Missouri,MO,"1,095",455,668,278
ASIAN AND PACIFIC ISLAND LANGUAGES,Hmong,Hmong,Missouri,MO,949,226,468,172
ASIAN AND PACIFIC ISLAND LANGUAGES,Thai,Thai,Missouri,MO,"1,512",385,651,204
ASIAN AND PACIFIC ISLAND LANGUAGES,Laotian,Laotian,Missouri,MO,"1,058",403,592,283
ASIAN AND PACIFIC ISLAND LANGUAGES,Vietnamese,Vietnamese,Missouri,MO,"12,185","1,025","7,743",670
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Uighur,Missouri,MO,365,277,275,221
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Azerbaijani,Missouri,MO,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkish,Missouri,MO,"1,945",884,750,404
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Mongolian,Missouri,MO,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tungus,Missouri,MO,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Dravidian,Missouri,MO,80,75,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Gondi,Missouri,MO,45,74,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Telugu,Missouri,MO,"3,610",625,490,188
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kannada,Missouri,MO,395,176,55,70
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Malayalam,Missouri,MO,795,284,150,77
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tamil,Missouri,MO,"2,305",689,705,350
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Munda,Missouri,MO,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Burmese,Missouri,MO,260,150,240,146
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Karen,Missouri,MO,170,169,130,121
ASIAN AND PACIFIC ISLAND LANGUAGES,Tagalog,Tagalog,Missouri,MO,"7,256",806,"2,151",315
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Indonesian,Missouri,MO,380,166,140,96
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malay,Missouri,MO,130,82,30,38
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bisayan,Missouri,MO,290,135,105,81
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Sebuano,Missouri,MO,40,34,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ilocano,Missouri,MO,50,53,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bikol,Missouri,MO,15,25,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Pampangan,Missouri,MO,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Micronesian,Missouri,MO,740,241,325,168
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Chamorro,Missouri,MO,200,110,20,23
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Kusaiean,Missouri,MO,70,69,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Marshallese,Missouri,MO,200,253,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Mokilese,Missouri,MO,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Palau,Missouri,MO,60,62,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ponapean,Missouri,MO,615,225,320,245
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Trukese,Missouri,MO,100,199,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Melanesian,Missouri,MO,25,28,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Samoan,Missouri,MO,535,211,125,85
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Tongan,Missouri,MO,60,59,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Fijian,Missouri,MO,195,148,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Hawaiian,Missouri,MO,105,67,35,34
ALL OTHER LANGUAGES,Navajo,Navajo,Missouri,MO,65,65,9,12
ALL OTHER LANGUAGES,Other Native North American languages,Inupik,Missouri,MO,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Arapaho,Missouri,MO,35,44,,
ALL OTHER LANGUAGES,Other Native North American languages,Cheyenne,Missouri,MO,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Kickapoo,Missouri,MO,15,16,,
ALL OTHER LANGUAGES,Other Native North American languages,Ojibwa,Missouri,MO,40,42,,
ALL OTHER LANGUAGES,Other Native North American languages,Ottawa,Missouri,MO,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Foothill North Yokuts,Missouri,MO,20,29,,
ALL OTHER LANGUAGES,Other Native North American languages,Dakota,Missouri,MO,55,47,,
ALL OTHER LANGUAGES,Other Native North American languages,Winnebago,Missouri,MO,70,76,,
ALL OTHER LANGUAGES,Other Native North American languages,Ponca,Missouri,MO,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Choctaw,Missouri,MO,30,39,,
ALL OTHER LANGUAGES,Other Native North American languages,Muskogee,Missouri,MO,70,59,,
ALL OTHER LANGUAGES,Other Native North American languages,Seneca,Missouri,MO,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Cherokee,Missouri,MO,630,210,30,31
ALL OTHER LANGUAGES,Other Native North American languages,Tiwa,Missouri,MO,,,,
ALL OTHER LANGUAGES,Other Native North American languages,American Indian,Missouri,MO,120,83,,
ALL OTHER LANGUAGES,Hungarian,Hungarian,Missouri,MO,874,257,266,146
ALL OTHER LANGUAGES,Arabic,Arabic,Missouri,MO,"9,909","1,034","4,421",727
ALL OTHER LANGUAGES,Hebrew,Hebrew,Missouri,MO,"1,203",282,110,77
ALL OTHER LANGUAGES,African languages,Amharic,Missouri,MO,"2,150",529,915,306
ALL OTHER LANGUAGES,African languages,Chadic,Missouri,MO,30,28,,
ALL OTHER LANGUAGES,African languages,Cushite,Missouri,MO,"1,950",590,"1,000",293
ALL OTHER LANGUAGES,African languages,Sudanic,Missouri,MO,875,467,545,381
ALL OTHER LANGUAGES,African languages,Nilotic,Missouri,MO,85,70,,
ALL OTHER LANGUAGES,African languages,Nilo-Hamitic,Missouri,MO,,,,
ALL OTHER LANGUAGES,African languages,Swahili,Missouri,MO,"2,220",448,445,188
ALL OTHER LANGUAGES,African languages,Bantu,Missouri,MO,850,284,300,169
ALL OTHER LANGUAGES,African languages,Mande,Missouri,MO,80,69,,
ALL OTHER LANGUAGES,African languages,Fulani,Missouri,MO,215,130,125,88
ALL OTHER LANGUAGES,African languages,Gur,Missouri,MO,,,,
ALL OTHER LANGUAGES,African languages,"Kru, Ibo, Yoruba",Missouri,MO,"3,050",669,440,143
ALL OTHER LANGUAGES,African languages,Efik,Missouri,MO,90,67,,
ALL OTHER LANGUAGES,African languages,African,Missouri,MO,120,91,25,29
ALL OTHER LANGUAGES,Other and unspecified languages,Finnish,Missouri,MO,330,214,,
ALL OTHER LANGUAGES,Other and unspecified languages,Caucasian,Missouri,MO,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Basque,Missouri,MO,30,34,,
ALL OTHER LANGUAGES,Other and unspecified languages,Syriac,Missouri,MO,35,32,,
ALL OTHER LANGUAGES,Other and unspecified languages,Mayan languages,Missouri,MO,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Chibchan,Missouri,MO,40,65,,
ALL OTHER LANGUAGES,Other and unspecified languages,Uncodable,Missouri,MO,185,83,,
ENGLISH,English,English,Montana,MT,"896,207","1,524",,
SPANISH AND SPANISH CREOLE,Spanish and Spanish Creole,Spanish,Montana,MT,"13,930",927,"3,125",394
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",French,Montana,MT,"2,305",343,345,122
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Cajun,Montana,MT,20,24,,
OTHER INDO-EUROPEAN LANGUAGES,French Creole,French Creole,Montana,MT,57,55,,
OTHER INDO-EUROPEAN LANGUAGES,Italian,Italian,Montana,MT,619,257,85,83
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Portuguese,Montana,MT,135,64,40,31
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),German,Montana,MT,"7,120",621,"1,265",280
OTHER INDO-EUROPEAN LANGUAGES,Yiddish,Yiddish,Montana,MT,35,39,9,12
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Pennsylvania Dutch,Montana,MT,170,106,80,62
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,Montana,MT,580,189,55,54
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,Montana,MT,50,51,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,Montana,MT,130,71,10,12
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Danish,Montana,MT,300,147,15,13
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Norwegian,Montana,MT,590,164,115,72
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Icelandic,Montana,MT,15,22,10,17
OTHER INDO-EUROPEAN LANGUAGES,Greek,Greek,Montana,MT,160,62,24,23
OTHER INDO-EUROPEAN LANGUAGES,Russian,Russian,Montana,MT,615,242,358,150
OTHER INDO-EUROPEAN LANGUAGES,Polish,Polish,Montana,MT,251,105,28,21
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbocroatian,Montana,MT,,,,
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Croatian,Montana,MT,65,62,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Ukrainian,Montana,MT,170,106,95,74
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Czech,Montana,MT,100,42,15,13
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bulgarian,Montana,MT,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovene,Montana,MT,35,34,,
OTHER INDO-EUROPEAN LANGUAGES,Persian,Persian,Montana,MT,29,41,,
OTHER INDO-EUROPEAN LANGUAGES,Hindi,Hindi,Montana,MT,78,76,22,39
OTHER INDO-EUROPEAN LANGUAGES,Gujarati,Gujarati,Montana,MT,8,16,,
OTHER INDO-EUROPEAN LANGUAGES,Urdu,Urdu,Montana,MT,51,67,14,20
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,India,Montana,MT,60,72,20,21
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bengali,Montana,MT,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Panjabi,Montana,MT,,,,
