Group,Sub-Group,Language,State,Number of Speakers,Margin of Error,"Speak English less than ""Very Well""",Margin of Error,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Cree,North Dakota,70,63,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..French Cree,North Dakota,25,35,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Ojibwa,North Dakota,90,52,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Ottawa,North Dakota,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Okanogan,North Dakota,60,89,45,66,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Ingalit,North Dakota,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Apache,North Dakota,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Crow,North Dakota,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Hidatsa,North Dakota,390,92,20,22,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Mandan,North Dakota,35,28,20,22,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Dakota,North Dakota,685,135,25,14,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Winnebago,North Dakota,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Omaha,North Dakota,10,9,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Keres,North Dakota,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Arikara,North Dakota,145,66,40,27,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Shoshoni,North Dakota,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..American Indian,North Dakota,200,111,20,19,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Spokane,North Dakota,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Hungarian,.Hungarian,North Dakota,94,92,24,27,,,,
ALL OTHER LANGUAGES,.Arabic,.Arabic,North Dakota,797,270,364,181,,,,
ALL OTHER LANGUAGES,.Hebrew,.Hebrew,North Dakota,38,37,7,10,,,,
ALL OTHER LANGUAGES,.African languages,..Amharic,North Dakota,60,52,20,28,,,,
ALL OTHER LANGUAGES,.African languages,..Chadic,North Dakota,10,15,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Cushite,North Dakota,835,331,685,316,,,,
ALL OTHER LANGUAGES,.African languages,..Sudanic,North Dakota,40,43,25,30,,,,
ALL OTHER LANGUAGES,.African languages,..Swahili,North Dakota,580,364,245,204,,,,
ALL OTHER LANGUAGES,.African languages,..Bantu,North Dakota,600,272,410,205,,,,
ALL OTHER LANGUAGES,.African languages,..Mande,North Dakota,110,129,45,55,,,,
ALL OTHER LANGUAGES,.African languages,"..Kru, Ibo, Yoruba",North Dakota,175,88,65,56,,,,
ALL OTHER LANGUAGES,.African languages,..African,North Dakota,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Finnish,North Dakota,65,36,15,8,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Caucasian,North Dakota,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Syriac,North Dakota,40,67,40,67,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Uncodable,North Dakota,65,46,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.English,..English,Ohio,10124056,6986,NA,NA,,,,
SPANISH AND SPANISH CREOLE,.Spanish,..Spanish,Ohio,241650,3332,90725,2189,,,,
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..French,Ohio,28005,1229,6940,738,,,,
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Patois,Ohio,345,190,60,46,,,,
OTHER INDO-EUROPEAN LANGUAGES,.French Creole,.French Creole,Ohio,1800,483,495,273,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Italian,.Italian,Ohio,17966,1049,4803,510,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Portuguese,Ohio,3425,628,955,341,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Papia Mentae,Ohio,35,46,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..German,Ohio,54195,2271,14195,1087,,,,
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..Luxembourgian,Ohio,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Yiddish,.Yiddish,Ohio,689,162,66,44,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Pennsylvania Dutch,Ohio,28705,2001,10900,1197,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Dutch,Ohio,12160,1355,4255,799,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Afrikaans,Ohio,355,146,40,33,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Swedish,Ohio,725,223,70,52,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Danish,Ohio,620,318,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Norwegian,Ohio,275,128,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Icelandic,Ohio,55,39,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Greek,.Greek,Ohio,10122,790,2368,316,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Russian,.Russian,Ohio,16917,1381,8416,808,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Polish,.Polish,Ohio,9504,758,2575,347,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbocroatian,Ohio,2375,554,1080,292,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Croatian,Ohio,5205,612,1770,330,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbian,Ohio,5285,823,2025,371,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bielorussian,Ohio,55,144,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Ukrainian,Ohio,7835,996,3735,572,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Czech,Ohio,755,215,130,67,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovak,Ohio,2410,346,400,106,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bulgarian,Ohio,995,447,180,118,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Macedonian,Ohio,1800,423,580,201,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovene,Ohio,1840,298,560,150,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Armenian,.Armenian,Ohio,482,184,155,74,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Persian,.Persian,Ohio,3266,551,1152,315,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Hindi,.Hindi,Ohio,16159,1475,2606,537,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Gujarati,.Gujarati,Ohio,7727,893,2508,465,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Urdu,.Urdu,Ohio,5132,678,1060,251,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..India n.e.c.3,Ohio,1585,457,360,173,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Bengali,Ohio,2660,514,620,187,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Panjabi,Ohio,4070,720,1560,432,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Marathi,Ohio,1625,423,355,204,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Oriya,Ohio,35,52,35,52,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Assamese,Ohio,55,59,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Kashmiri,Ohio,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Nepali,Ohio,2130,688,1640,589,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sindhi,Ohio,85,83,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Pakistan n.e.c.3,Ohio,120,102,95,98,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sinhalese,Ohio,775,364,135,129,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Romany,Ohio,165,121,50,47,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Jamaican Creole,Ohio,320,184,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Krio,Ohio,450,247,100,115,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pidgin,Ohio,125,85,60,61,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Romanian,Ohio,6335,990,3055,566,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Welsh,Ohio,140,75,35,35,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Irish Gaelic,Ohio,850,255,105,57,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Scottic Gaelic,Ohio,35,37,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Albanian,Ohio,3280,814,1600,484,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Lithuanian,Ohio,1085,244,240,123,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Latvian,Ohio,670,178,80,50,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pashto,Ohio,145,108,65,87,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Kurdish,Ohio,145,134,70,67,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Chinese,Ohio,33190,1682,17035,1051,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Hakka,Ohio,95,127,95,127,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Cantonese,Ohio,1845,396,700,232,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Mandarin,Ohio,4935,622,2065,394,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Fuchow,Ohio,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Formosan,Ohio,985,332,480,187,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Wu,Ohio,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Japanese,.Japanese,Ohio,9510,915,4619,580,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Korean,.Korean,Ohio,12560,1045,6007,634,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Mon-Khmer, Cambodian",".Mon-Khmer, Cambodian",Ohio,3992,747,1988,468,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Hmong,.Hmong,Ohio,543,306,164,108,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Thai,.Thai,Ohio,2590,492,1261,298,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Laotian,.Laotian,Ohio,3287,659,1353,347,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Vietnamese,.Vietnamese,Ohio,11619,1012,6609,735,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Karachay,Ohio,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Uighur,Ohio,170,111,135,89,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Azerbaijani,Ohio,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Turkish,Ohio,2810,549,1030,234,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Mongolian,Ohio,75,71,35,46,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Dravidian,Ohio,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Telugu,Ohio,7490,1019,1585,395,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kannada,Ohio,1460,404,200,118,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Malayalam,Ohio,2220,503,475,200,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tamil,Ohio,6210,900,1115,356,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Munda,Ohio,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tibetan,Ohio,165,196,165,196,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Burmese,Ohio,615,250,415,180,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Karen,Ohio,430,295,390,263,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kachin,Ohio,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Mien,Ohio,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Tagalog,.Tagalog,Ohio,10897,946,2958,372,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Indonesian,Ohio,715,302,235,106,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Balinese,Ohio,70,113,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malagasy,Ohio,45,41,45,41,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malay,Ohio,315,131,205,106,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Bisayan,Ohio,270,146,140,108,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Sebuano,Ohio,360,198,160,101,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ilocano,Ohio,40,46,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Chamorro,Ohio,120,69,60,58,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Marshallese,Ohio,145,98,85,60,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ponapean,Ohio,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Yapese,Ohio,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Melanesian,Ohio,55,52,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Polynesian,Ohio,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Samoan,Ohio,115,84,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Fijian,Ohio,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Hawaiian,Ohio,90,75,NA,NA,,,,
ALL OTHER LANGUAGES,.Navajo,.Navajo,Ohio,59,79,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Aleut,Ohio,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Yupik,Ohio,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Algonquian,Ohio,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Blackfoot,Ohio,25,30,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Delaware,Ohio,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Ojibwa,Ohio,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Shawnee,Ohio,25,27,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Quinault,Ohio,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Kuchin,Ohio,90,75,35,40,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Apache,Ohio,30,32,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Nez Perce,Ohio,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Pomo,Ohio,105,155,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Yuma,Ohio,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Crow,Ohio,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Dakota,Ohio,75,41,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Choctaw,Ohio,125,81,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Koasati,Ohio,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Muskogee,Ohio,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Keres,Ohio,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Iroquois,Ohio,30,37,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Mohawk,Ohio,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Cherokee,Ohio,250,117,25,20,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Hopi,Ohio,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Tiwa,Ohio,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..American Indian,Ohio,80,48,45,45,,,,
ALL OTHER LANGUAGES,.Hungarian,.Hungarian,Ohio,7144,637,1794,250,,,,
ALL OTHER LANGUAGES,.Arabic,.Arabic,Ohio,34277,2528,11134,1143,,,,
ALL OTHER LANGUAGES,.Hebrew,.Hebrew,Ohio,2838,479,351,152,,,,
ALL OTHER LANGUAGES,.African languages,..Amharic,Ohio,4675,802,1735,330,,,,
